

 FILENAME = r15482m.bp             
SAMPLE = mb      VERSION =             
DATE OF SPECTRUM= 
              
NOTE:        
NOTE:        

        LOW LAMBDA (nm)     HIGH LAMBDA (nm)    # OF POINTS         DELTA X
         160.0               260.0                 501                 0.0

        CONC (mg/ml)        PATHLENGTH (cm)     SCALE (Deg)         MEAN RES MW
        0.000E+00             0.000                0.000               0.000

        TIME CONST (s)      SCAN SPEED(nm/min)  DETECTOR POSITION   # SCANS
           0.00                0.00   0.00           08

               DATAPOINTS

  LAMBDA         Y DATA          ST. DEV.           O.D.
   190.000          46804.410      0.000          0.000       
   190.200          47278.777      0.000          0.000       
   190.400          47753.145      0.000          0.000       
   190.600          48227.516      0.000          0.000       
   190.800          48701.883      0.000          0.000       
   191.000          49018.129      0.000          0.000       
   191.200          49334.379      0.000          0.000       
   191.400          49650.625      0.000          0.000       
   191.600          49808.746      0.000          0.000       
   191.800          49966.871      0.000          0.000       
   192.000          50124.992      0.000          0.000       
   192.200          50124.992      0.000          0.000       
   192.400          50283.113      0.000          0.000       
   192.600          50283.113      0.000          0.000       
   192.800          50283.113      0.000          0.000       
   193.000          50124.992      0.000          0.000       
   193.200          49966.871      0.000          0.000       
   193.400          49808.746      0.000          0.000       
   193.600          49492.496      0.000          0.000       
   193.800          49176.250      0.000          0.000       
   194.000          48860.004      0.000          0.000       
   194.200          48543.762      0.000          0.000       
   194.400          48069.391      0.000          0.000       
   194.600          47436.902      0.000          0.000       
   194.800          46804.410      0.000          0.000       
   195.000          46171.914      0.000          0.000       
   195.200          45381.301      0.000          0.000       
   195.400          44590.688      0.000          0.000       
   195.600          43800.074      0.000          0.000       
   195.800          43009.457      0.000          0.000       
   196.000          42060.719      0.000          0.000       
   196.200          40953.859      0.000          0.000       
   196.400          39846.996      0.000          0.000       
   196.600          38740.137      0.000          0.000       
   196.800          37475.152      0.000          0.000       
   197.000          36210.168      0.000          0.000       
   197.200          34945.184      0.000          0.000       
   197.400          33680.199      0.000          0.000       
   197.600          32415.215      0.000          0.000       
   197.800          30992.107      0.000          0.000       
   198.000          29569.002      0.000          0.000       
   198.200          28145.895      0.000          0.000       
   198.400          26722.787      0.000          0.000       
   198.600          25141.557      0.000          0.000       
   198.800          23718.451      0.000          0.000       
   199.000          22137.221      0.000          0.000       
   199.200          20555.988      0.000          0.000       
   199.400          18974.760      0.000          0.000       
   199.600          17551.652      0.000          0.000       
   199.800          15970.424      0.000          0.000       
   200.000          14389.192      0.000          0.000       
   200.200          12966.086      0.000          0.000       
   200.400          11384.855      0.000          0.000       
   200.600           9961.749      0.000          0.000       
   200.800           8380.519      0.000          0.000       
   201.000           6957.412      0.000          0.000       
   201.200           5534.305      0.000          0.000       
   201.400           4269.321      0.000          0.000       
   201.600           2846.214      0.000          0.000       
   201.800           1581.230      0.000          0.000       
   202.000            158.123      0.000          0.000       
   202.200          -1106.861      0.000          0.000       
   202.400          -2371.845      0.000          0.000       
   202.600          -3636.829      0.000          0.000       
   202.800          -4743.690      0.000          0.000       
   203.000          -6008.674      0.000          0.000       
   203.200          -7115.535      0.000          0.000       
   203.400          -8222.396      0.000          0.000       
   203.600          -9329.257      0.000          0.000       
   203.800         -10277.994      0.000          0.000       
   204.000         -11384.855      0.000          0.000       
   204.200         -12333.595      0.000          0.000       
   204.400         -13282.332      0.000          0.000       
   204.600         -14231.070      0.000          0.000       
   204.800         -15021.685      0.000          0.000       
   205.000         -15970.424      0.000          0.000       
   205.200         -16761.037      0.000          0.000       
   205.400         -17551.652      0.000          0.000       
   205.600         -18184.145      0.000          0.000       
   205.800         -18816.637      0.000          0.000       
   206.000         -19449.129      0.000          0.000       
   206.200         -20081.621      0.000          0.000       
   206.400         -20714.113      0.000          0.000       
   206.600         -21188.482      0.000          0.000       
   206.800         -21662.850      0.000          0.000       
   207.000         -21979.098      0.000          0.000       
   207.200         -22453.467      0.000          0.000       
   207.400         -22769.711      0.000          0.000       
   207.600         -23085.957      0.000          0.000       
   207.800         -23402.205      0.000          0.000       
   208.000         -23718.451      0.000          0.000       
   208.200         -23876.572      0.000          0.000       
   208.400         -24034.695      0.000          0.000       
   208.600         -24350.941      0.000          0.000       
   208.800         -24350.941      0.000          0.000       
   209.000         -24509.064      0.000          0.000       
   209.200         -24667.189      0.000          0.000       
   209.400         -24667.189      0.000          0.000       
   209.600         -24667.189      0.000          0.000       
   209.800         -24667.189      0.000          0.000       
   210.000         -24667.189      0.000          0.000       
   210.200         -24667.189      0.000          0.000       
   210.400         -24667.189      0.000          0.000       
   210.600         -24509.064      0.000          0.000       
   210.800         -24509.064      0.000          0.000       
   211.000         -24350.941      0.000          0.000       
   211.200         -24192.818      0.000          0.000       
   211.400         -24034.695      0.000          0.000       
   211.600         -23876.572      0.000          0.000       
   211.800         -23718.451      0.000          0.000       
   212.000         -23718.451      0.000          0.000       
   212.200         -23560.328      0.000          0.000       
   212.400         -23560.328      0.000          0.000       
   212.600         -23402.205      0.000          0.000       
   212.800         -23402.205      0.000          0.000       
   213.000         -23402.205      0.000          0.000       
   213.200         -23244.080      0.000          0.000       
   213.400         -23244.080      0.000          0.000       
   213.600         -23244.080      0.000          0.000       
   213.800         -23244.080      0.000          0.000       
   214.000         -23085.957      0.000          0.000       
   214.200         -23085.957      0.000          0.000       
   214.400         -23085.957      0.000          0.000       
   214.600         -23085.957      0.000          0.000       
   214.800         -23085.957      0.000          0.000       
   215.000         -23244.080      0.000          0.000       
   215.200         -23244.080      0.000          0.000       
   215.400         -23402.205      0.000          0.000       
   215.600         -23402.205      0.000          0.000       
   215.800         -23402.205      0.000          0.000       
   216.000         -23560.328      0.000          0.000       
   216.200         -23560.328      0.000          0.000       
   216.400         -23718.451      0.000          0.000       
   216.600         -23876.572      0.000          0.000       
   216.800         -23876.572      0.000          0.000       
   217.000         -23876.572      0.000          0.000       
   217.200         -24034.695      0.000          0.000       
   217.400         -24192.818      0.000          0.000       
   217.600         -24350.941      0.000          0.000       
   217.800         -24350.941      0.000          0.000       
   218.000         -24509.064      0.000          0.000       
   218.200         -24667.189      0.000          0.000       
   218.400         -24825.313      0.000          0.000       
   218.600         -24983.436      0.000          0.000       
   218.800         -25141.557      0.000          0.000       
   219.000         -25141.557      0.000          0.000       
   219.200         -25141.557      0.000          0.000       
   219.400         -25141.557      0.000          0.000       
   219.600         -25141.557      0.000          0.000       
   219.800         -25141.557      0.000          0.000       
   220.000         -25141.557      0.000          0.000       
   220.200         -25141.557      0.000          0.000       
   220.400         -25141.557      0.000          0.000       
   220.600         -25141.557      0.000          0.000       
   220.800         -25299.680      0.000          0.000       
   221.000         -25299.680      0.000          0.000       
   221.200         -25299.680      0.000          0.000       
   221.400         -25299.680      0.000          0.000       
   221.600         -25299.680      0.000          0.000       
   221.800         -25299.680      0.000          0.000       
   222.000         -25299.680      0.000          0.000       
   222.200         -25299.680      0.000          0.000       
   222.400         -25141.557      0.000          0.000       
   222.600         -25141.557      0.000          0.000       
   222.800         -25141.557      0.000          0.000       
   223.000         -25141.557      0.000          0.000       
   223.200         -25141.557      0.000          0.000       
   223.400         -25141.557      0.000          0.000       
   223.600         -25141.557      0.000          0.000       
   223.800         -25141.557      0.000          0.000       
   224.000         -25141.557      0.000          0.000       
   224.200         -24983.436      0.000          0.000       
   224.400         -24983.436      0.000          0.000       
   224.600         -24983.436      0.000          0.000       
   224.800         -24825.313      0.000          0.000       
   225.000         -24667.189      0.000          0.000       
   225.200         -24509.064      0.000          0.000       
   225.400         -24509.064      0.000          0.000       
   225.600         -24350.941      0.000          0.000       
   225.800         -24350.941      0.000          0.000       
   226.000         -24192.818      0.000          0.000       
   226.200         -23876.572      0.000          0.000       
   226.400         -23718.451      0.000          0.000       
   226.600         -23560.328      0.000          0.000       
   226.800         -23402.205      0.000          0.000       
   227.000         -23244.080      0.000          0.000       
   227.200         -22927.834      0.000          0.000       
   227.400         -22611.590      0.000          0.000       
   227.600         -22137.221      0.000          0.000       
   227.800         -21820.973      0.000          0.000       
   228.000         -21504.729      0.000          0.000       
   228.200         -21188.482      0.000          0.000       
   228.400         -20872.236      0.000          0.000       
   228.600         -20555.988      0.000          0.000       
   228.800         -20239.744      0.000          0.000       
   229.000         -19923.498      0.000          0.000       
   229.200         -19607.252      0.000          0.000       
   229.400         -19291.006      0.000          0.000       
   229.600         -18816.637      0.000          0.000       
   229.800         -18500.391      0.000          0.000       
   230.000         -18026.021      0.000          0.000       
   230.200         -17709.777      0.000          0.000       
   230.400         -17235.406      0.000          0.000       
   230.600         -16919.160      0.000          0.000       
   230.800         -16444.793      0.000          0.000       
   231.000         -15970.424      0.000          0.000       
   231.200         -15654.177      0.000          0.000       
   231.400         -15179.809      0.000          0.000       
   231.600         -14863.562      0.000          0.000       
   231.800         -14389.192      0.000          0.000       
   232.000         -13914.824      0.000          0.000       
   232.200         -13440.455      0.000          0.000       
   232.400         -13124.209      0.000          0.000       
   232.600         -12649.840      0.000          0.000       
   232.800         -12333.595      0.000          0.000       
   233.000         -11859.226      0.000          0.000       
   233.200         -11384.855      0.000          0.000       
   233.400         -10910.486      0.000          0.000       
   233.600         -10594.241      0.000          0.000       
   233.800         -10277.994      0.000          0.000       
   234.000          -9961.749      0.000          0.000       
   234.200          -9645.503      0.000          0.000       
   234.400          -9171.134      0.000          0.000       
   234.600          -8854.889      0.000          0.000       
   234.800          -8538.643      0.000          0.000       
   235.000          -8222.396      0.000          0.000       
   235.200          -7906.150      0.000          0.000       
   235.400          -7589.904      0.000          0.000       
   235.600          -7273.658      0.000          0.000       
   235.800          -6957.412      0.000          0.000       
   236.000          -6641.166      0.000          0.000       
   236.200          -6483.043      0.000          0.000       
   236.400          -6008.674      0.000          0.000       
   236.600          -5692.428      0.000          0.000       
   236.800          -5534.305      0.000          0.000       
   237.000          -5218.059      0.000          0.000       
   237.200          -4901.813      0.000          0.000       
   237.400          -4743.690      0.000          0.000       
   237.600          -4427.444      0.000          0.000       
   237.800          -4269.321      0.000          0.000       
   238.000          -3953.075      0.000          0.000       
   238.200          -3794.952      0.000          0.000       
   238.400          -3636.829      0.000          0.000       
   238.600          -3478.706      0.000          0.000       
   238.800          -3320.583      0.000          0.000       
   239.000          -3320.583      0.000          0.000       
   239.200          -3162.460      0.000          0.000       
   239.400          -3004.337      0.000          0.000       
   239.600          -2846.214      0.000          0.000       
   239.800          -2688.091      0.000          0.000       
   240.000          -2688.091      0.000          0.000       
   240.200          -2529.968      0.000          0.000       
   240.400          -2529.968      0.000          0.000       
   240.600          -2371.845      0.000          0.000       
   240.800          -2371.845      0.000          0.000       
   241.000          -2213.722      0.000          0.000       
   241.200          -2213.722      0.000          0.000       
   241.400          -2055.599      0.000          0.000       
   241.600          -2055.599      0.000          0.000       
   241.800          -1897.476      0.000          0.000       
   242.000          -1897.476      0.000          0.000       
   242.200          -1739.353      0.000          0.000       
   242.400          -1581.230      0.000          0.000       
   242.600          -1581.230      0.000          0.000       
   242.800          -1423.107      0.000          0.000       
   243.000          -1423.107      0.000          0.000       
   243.200          -1264.984      0.000          0.000       
   243.400          -1264.984      0.000          0.000       
   243.600          -1264.984      0.000          0.000       
   243.800          -1106.861      0.000          0.000       
   244.000          -1106.861      0.000          0.000       
   244.200          -1106.861      0.000          0.000       
   244.400          -1106.861      0.000          0.000       
   244.600           -948.738      0.000          0.000       
   244.800           -790.615      0.000          0.000       
   245.000           -790.615      0.000          0.000       
   245.200           -632.492      0.000          0.000       
   245.400           -474.369      0.000          0.000       
   245.600           -474.369      0.000          0.000       
   245.800           -474.369      0.000          0.000       
   246.000           -316.246      0.000          0.000       
   246.200           -316.246      0.000          0.000       
   246.400           -316.246      0.000          0.000       
   246.600           -158.123      0.000          0.000       
   246.800           -158.123      0.000          0.000       
   247.000              0.000      0.000          0.000       
   247.200              0.000      0.000          0.000       
   247.400              0.000      0.000          0.000       
   247.600              0.000      0.000          0.000       
   247.800              0.000      0.000          0.000       
   248.000            158.123      0.000          0.000       
   248.200            158.123      0.000          0.000       
   248.400              0.000      0.000          0.000       
   248.600            158.123      0.000          0.000       
   248.800            158.123      0.000          0.000       
   249.000            158.123      0.000          0.000       
   249.200            158.123      0.000          0.000       
   249.400              0.000      0.000          0.000       
   249.600            158.123      0.000          0.000       
   249.800            158.123      0.000          0.000       
   250.000            158.123      0.000          0.000       
   250.200            158.123      0.000          0.000       
   250.400            316.246      0.000          0.000       
   250.600            316.246      0.000          0.000       
   250.800            316.246      0.000          0.000       
   251.000            158.123      0.000          0.000       
   251.200            158.123      0.000          0.000       
   251.400            158.123      0.000          0.000       
   251.600            158.123      0.000          0.000       
   251.800            158.123      0.000          0.000       
   252.000            158.123      0.000          0.000       
   252.200            158.123      0.000          0.000       
   252.400            158.123      0.000          0.000       
   252.600            158.123      0.000          0.000       
   252.800            158.123      0.000          0.000       
   253.000            158.123      0.000          0.000       
   253.200              0.000      0.000          0.000       
   253.400              0.000      0.000          0.000       
   253.600              0.000      0.000          0.000       
   253.800              0.000      0.000          0.000       
   254.000           -158.123      0.000          0.000       
   254.200           -158.123      0.000          0.000       
   254.400           -158.123      0.000          0.000       
   254.600           -158.123      0.000          0.000       
